[Список рас]
Буквами Б и К обозначена принадлежность бобру и козлу соответственно
БК     Эльфы (тёмные/светлые)
Б~К  Люди (горцы/южане/кочевники/...) - раса зависит от пмж
БББ  Гномы (подгорные/холмовые/краснолюды)
НН    Дриады(лесные/озёрные)
КК     Орки (ночные/обыкновенные)
ККК  Минотавры (чёрные/лесные/храмовые)
ККК  Тролли(пещерные/горные/лесные)
Б        Хоббиты(решили что по кланам)
ББ     Кентавры (кочевные/осёдлые)
НН    Энты (таёжные/тропические)
К       Гоблины (по специализации)
Н       Драконы(по качествам/цветам)
